observation,date,residual
1,2023-02-06,96345.27545111673
2,2023-02-13,1027.2749282210134
3,2023-02-20,16140.064474763814
4,2023-02-27,-20976.687750353012
5,2023-03-06,-204634.2914821948
6,2023-03-13,-62887.38243694231
7,2023-03-20,-212793.96142458264
8,2023-03-27,73413.23531995201
9,2023-04-03,20219.22425307706
10,2023-04-10,-220540.6903972132
11,2023-04-17,-138110.88461693004
12,2023-04-24,-35028.60671607405
13,2023-05-01,60259.15348244342
14,2023-05-08,-3861.4235354627017
15,2023-05-15,-283708.5451391437
16,2023-05-22,12573.79510231642
17,2023-05-29,158834.55814359966
18,2023-06-05,15198.736937471433
19,2023-06-12,520811.6570167723
20,2023-06-19,-168381.40145542473
21,2023-06-26,-60885.318089369684
22,2023-07-03,-115164.00666467287
23,2023-07-10,-135739.85317984095
24,2023-07-17,-198500.79046416422
25,2023-07-24,-128689.29007462075
26,2023-07-31,846067.7027624033
27,2023-08-07,136193.57431812992
28,2023-08-14,-45315.93394409318
29,2023-08-21,-157530.06921837665
30,2023-08-28,-50722.611436316976
31,2023-09-04,-141546.26995430468
32,2023-09-11,-105438.50669946836
33,2023-09-18,69647.54644742887
34,2023-09-25,165879.83299935271
35,2023-10-02,-55516.77269278583
36,2023-10-09,144578.40525048925
37,2023-10-16,-133042.01093533146
38,2023-10-23,134527.70454547182
39,2023-10-30,41927.58569189557
40,2023-11-06,-169593.9866791088
41,2023-11-13,237962.59308124566
42,2023-11-20,275156.02000055066
43,2023-11-27,452902.5812966875
44,2023-12-04,-49128.549922953825
45,2023-12-11,-208941.66911443416
46,2023-12-18,-606492.549279687
47,2023-12-25,9365.234908382408
48,2024-01-01,-452029.5852281884
49,2024-01-08,-61853.68206834979
50,2024-01-15,-22822.49522480415
51,2024-01-22,-11519.22933519166
52,2024-01-29,374237.7085631611
53,2024-02-05,268781.3110478348
54,2024-02-12,189243.95572588034
55,2024-02-19,76419.13821024122
56,2024-02-26,-93428.52281386359
57,2024-03-04,-195477.02175402362
58,2024-03-11,856708.9282577923
59,2024-03-18,-14084.87170358235
60,2024-03-25,-280847.0005184673
61,2024-04-01,-70166.10956429085
62,2024-04-08,-61416.98296298226
63,2024-04-15,114343.24611260928
64,2024-04-22,13364.606714895694
65,2024-04-29,102547.03849226935
66,2024-05-06,414225.58308710996
67,2024-05-13,-339258.97602518974
68,2024-05-20,-158987.48460551584
69,2024-05-27,-126510.32845409657
70,2024-06-03,-301999.00915628346
71,2024-06-10,-89732.12146823411
72,2024-06-17,72580.71322820103
73,2024-06-24,-185419.5167357982
74,2024-07-01,657606.1673646222
75,2024-07-08,-137560.59482378548
76,2024-07-15,907555.274759161
77,2024-07-22,-370268.58944053436
78,2024-07-29,-123314.87807947292
79,2024-08-05,-54882.84961855959
80,2024-08-12,-176434.17488018784
81,2024-08-19,-289886.63272316474
82,2024-08-26,-110143.25576044305
83,2024-09-02,-123083.77719694271
84,2024-09-09,-145668.43696966185
85,2024-09-16,-243860.91711920477
86,2024-09-23,101088.59289728873
87,2024-09-30,5531.6356512934435
88,2024-10-07,103407.74533534562
89,2024-10-14,44731.15985550638
90,2024-10-21,97205.97298727138
91,2024-10-28,-187542.79257853027
92,2024-11-04,413877.8541355005
93,2024-11-11,223242.80271975277
94,2024-11-18,188945.0766841618
95,2024-11-25,-97232.12531357491
96,2024-12-02,-130124.96230788506
97,2024-12-09,-67592.40071497532
98,2024-12-16,-304785.6361959637
99,2024-12-23,200180.12366805505
100,2024-12-30,-129768.04717951175
101,2025-01-06,-272987.7283315812
102,2025-01-13,-132546.53210111754
103,2025-01-20,427876.62203212036
104,2025-01-27,116328.26986715104
