component,total_mean,total_lower_5,total_upper_95,share_mean,share_lower_5,share_upper_95
intercept,1.529503667165949e8,1.3707913236333045e8,1.657795916418088e8,0.8100631125131208,0.7350722558102566,0.8722407737624156
media:channel_1,1.0300099749339854e7,5.747205274118772e6,1.6497866993469737e7,0.05456421616336551,0.030205456093880777,0.08797071180199716
media:channel_2,4.871826830533595e6,622418.8255911869,1.1565071067132397e7,0.025793986360898205,0.003230551857855361,0.061553440445051046
media:channel_3,3.741556195892371e6,538717.7187922592,7.653430940811483e6,0.019814582761447916,0.0028883058470449744,0.04032263382998062
media:channel_4,9.082735839941336e6,2.8463690247480003e6,1.56511450402888e7,0.04812110933552837,0.015078368019690005,0.08264267806333442
media:channel_5,5.175820388472426e6,366157.96521129337,1.3876222125548601e7,0.02742266108026494,0.0019457110534189398,0.07319011754501786
media:channel_6,5.2563565351879485e6,334065.0037507632,1.4266352809833467e7,0.027836961421668378,0.001744536756687879,0.07461168650397364
holiday,-2.2926630401565805e6,-4.558914713047658e6,153825.98230569783,-0.01214469610824175,-0.024090021491996558,0.0008279788605626636
seasonality,-277848.17280627036,-320668.46452882036,-236857.0042098673,-0.001471933528052289,-0.001689341809533506,-0.0012553379280782905
