parameter,rhat,ess_bulk,ess_tail,mcse_mean
alpha[1],1.0019387769102979,445.45547722381514,251.5509764312851,0.004928063256092109
alpha[2],1.00331272914103,289.21448268394306,177.50554918443936,0.010849044560787792
alpha[3],1.000384425383643,658.2662225770163,222.89534589200662,0.005582156929753143
alpha[4],1.0027167034975772,398.2659544025711,269.1185008072847,0.0062907011592599265
alpha[5],1.004530259202821,474.7963378174569,217.26501198875758,0.010349156995377216
alpha[6],0.9987171575450974,727.3864453811234,319.9222460383314,0.007907740803038223
beta_holidays[1],1.000989157854935,706.9538251643069,228.33939409763857,0.0037504815387507185
beta_media[1],0.9987788589951959,226.34447375430454,203.8053653101237,0.008430356893731138
beta_media[2],1.010652314932482,217.7637346570178,235.39609591248913,0.007950188828376012
beta_media[3],1.0028318578099908,260.93812756858136,223.89026530076924,0.007980933409638694
beta_media[4],1.002124801485805,322.84563211307017,170.12352287279194,0.007930295337326435
beta_media[5],1.0038786209029202,361.9960934509408,299.87282014599987,0.0036905556651238153
beta_media[6],1.0124278374122122,434.83202594169364,389.54660484640937,0.0030041882995065572
beta_seasonality[1],1.0036200870505905,369.1415108758514,313.72696226760615,0.0006551984941735309
beta_seasonality[2],1.0005623910373713,770.6401001368431,406.6480210265866,0.0003719337770824717
beta_seasonality[3],1.0131756316765232,342.2848550846124,330.61157494545125,0.0007817363323729306
beta_seasonality[4],0.9970647392469181,655.9146324596148,421.8865829776063,0.0004218613510132125
intercept,1.0114652355478888,259.22205984782545,300.547098324088,0.0014420380887708595
lam[1],1.0066055078048934,290.4876661229416,187.34307506196373,0.09878648602717613
lam[2],1.007371701236105,423.1442732463394,377.76485842927536,0.07512063340416611
lam[3],1.0057148209860252,393.68815616836343,247.6199685463126,0.074338527808637
lam[4],0.9998343258221656,381.07058389647113,298.01125667721675,0.06409966111092923
lam[5],1.004569175270252,420.3548779463426,286.83468045320154,0.07735098187369427
lam[6],1.0011413195198402,494.2323886152539,397.40130357107466,0.06807626486238406
sigma,1.0042580631926212,437.0944738286731,356.1286918168185,0.00028038051456440795
